plant_id,species,pot_size,light_condition,location_type,watering_per_week,days_since_repot,fertilizer_ml,humidity_pct,temperature_c,prev_height_cm,height_cm,is_blooming
1,스투키,Medium,Medium,실내,2,71.0,57.3,62.0,27.0,64.6,72.3,N
2,필로덴드론,Medium,Medium,베란다,4,5.0,18.0,76.0,19.3,33.7,43.5,Y
3,고무나무,Large,Low,실내,2,5.0,13.9,67.6,18.7,,121.0,N
4,스킨답서스,Small,Medium,실내,0,344.0,21.4,59.8,18.4,5.0,6.1,N
5,몬스테라,Large,Medium,실내,1,200.0,4.2,44.8,23.6,71.3,77.2,N
6,몬스테라,Small,High,실내,5,91.0,23.6,58.6,21.7,44.4,54.8,N
7,몬스테라,Medium,Low,실내,1,89.0,28.8,62.0,18.7,56.4,59.4,N
8,산세베리아,Large,Medium,실내,3,166.0,24.5,76.4,21.4,9.8,19.0,N
9,고무나무,Small,High,실내,1,50.0,14.4,44.4,28.5,83.8,91.2,N
10,고무나무,Medium,High,실내,1,172.0,37.0,50.5,23.3,64.7,71.7,Y
11,몬스테라,Small,High,실내,1,80.0,21.5,79.1,26.4,62.3,65.5,N
12,필로덴드론,Medium,High,실내,2,122.0,27.8,52.6,18.1,20.5,26.3,N
13,산세베리아,Medium,High,베란다,3,402.0,26.9,60.9,22.9,39.6,47.4,N
14,몬스테라,Medium,Medium,실내,0,76.0,46.7,42.3,23.5,45.4,49.7,N
15,몬스테라,Small,Medium,베란다,2,65.0,51.5,50.9,24.1,73.8,79.0,N
16,몬스테라,Small,Low,베란다,1,283.0,61.5,58.9,21.2,20.5,23.6,N
17,스투키,Small,Low,실내,2,279.0,28.2,50.4,25.0,48.2,53.3,N
18,스킨답서스,Small,Low,베란다,2,586.0,20.6,57.2,23.5,39.5,42.7,N
19,스킨답서스,Medium,Low,실내,5,96.0,29.8,58.1,22.3,54.1,57.7,N
20,스투키,Large,Medium,실내,2,51.0,12.6,55.9,20.7,56.0,61.5,N
21,고무나무,Medium,Low,실내,5,33.0,15.2,46.0,17.5,82.6,87.8,Y
22,몬스테라,Medium,Low,베란다,2,4.0,28.9,64.9,16.2,68.0,71.0,N
23,스투키,Large,High,실내,2,156.0,17.7,57.2,20.0,56.2,59.8,N
24,스투키,Medium,Low,베란다,4,32.0,27.8,47.0,21.5,58.7,62.4,N
25,스킨답서스,Large,High,실내,3,112.0,40.4,45.3,20.0,35.2,43.5,N
26,산세베리아,Medium,Low,베란다,2,298.0,39.9,42.6,23.0,52.0,57.1,N
27,몬스테라,Small,High,실내,0,360.0,36.5,69.5,24.5,62.4,65.9,Y
28,스킨답서스,Small,High,실내,1,1.0,85.0,46.4,18.2,17.1,25.7,N
29,스킨답서스,Medium,Medium,실내,0,46.0,14.4,44.1,23.6,71.6,77.4,Y
30,몬스테라,Small,Medium,실내,4,218.0,30.0,43.1,21.9,88.0,94.2,N
31,고무나무,Small,Low,실내,3,92.0,25.9,31.1,16.8,40.0,43.4,N
32,몬스테라,Medium,High,베란다,2,198.0,7.0,81.4,24.7,98.5,107.3,Y
33,,Medium,,실내,1,230.0,36.7,56.1,19.2,45.2,49.4,Y
34,필로덴드론,Medium,High,베란다,1,70.0,5.9,44.4,29.7,39.6,46.3,N
35,·정보없음,Small,Medium,실내,1,53.0,7.9,50.9,25.5,37.1,39.5,N
36,산세베리아,Medium,Medium,베란다,6,73.0,26.9,39.9,21.6,30.8,39.4,N
37,스투키,Medium,High,실내,3,127.0,2.8,57.2,22.0,57.1,63.6,Y
38,몬스테라,Large,Medium,실내,1,55.0,9.3,53.2,17.8,88.5,91.3,N
39,고무나무,Medium,Medium,베란다,5,179.0,17.9,68.4,27.3,63.2,68.2,Y
40,스킨답서스,Large,Low,실내,2,281.0,19.9,46.6,19.5,37.4,38.8,N
41,몬스테라,Medium,High,실내,2,40.0,36.6,59.3,22.1,57.6,64.3,Y
42,스킨답서스,Medium,Low,실내,0,402.0,60.0,55.2,20.1,28.9,30.3,N
43,몬스테라,Small,Low,실내,2,117.0,76.3,44.7,23.4,58.3,62.7,N
44,필로덴드론,Medium,Medium,실내,0,253.0,70.4,59.3,21.9,35.4,39.4,N
45,스투키,Medium,High,베란다,1,13.0,2.0,54.0,20.1,57.1,59.1,N
46,고무나무,Medium,Medium,실내,3,35.0,62.8,66.9,23.4,67.3,71.7,N
47,스투키,Medium,Low,실내,5,46.0,19.3,59.8,26.5,50.9,58.4,N
48,스킨답서스,Medium,Low,실내,2,43.0,100.3,49.2,22.1,17.9,22.9,N
49,스킨답서스,Small,High,실내,0,23.0,16.7,65.7,15.4,41.9,44.2,Y
50,몬스테라,Medium,High,실내,2,243.0,46.1,58.5,23.1,59.9,65.6,N
51,필로덴드론,Small,High,베란다,1,,27.3,48.8,17.6,42.6,46.9,Y
52,산세베리아,Large,Medium,베란다,2,,24.0,66.4,17.9,50.7,51.8,N
53,필로덴드론,Small,High,실내,5,105.0,17.8,65.4,17.6,39.9,47.7,N
54,산세베리아,Small,Medium,베란다,5,18.0,4.9,44.2,24.1,23.4,31.1,N
55,스킨답서스,Medium,Medium,실내,0,95.0,6.3,46.3,17.6,35.7,36.7,N
56,필로덴드론,Medium,Medium,베란다,1,605.0,24.7,56.5,25.0,14.4,19.7,N
57,몬스테라,Medium,Medium,실내,2,100.0,20.1,50.8,24.4,16.5,22.9,N
58,몬스테라,Small,High,실내,1,0.0,53.5,51.1,19.4,78.4,86.8,Y
59,몬스테라,Medium,Medium,실내,5,325.0,14.0,45.5,23.4,15.3,22.1,N
60,스투키,Small,Medium,실내,1,32.0,46.0,57.1,25.5,59.8,67.3,N
61,스투키,Large,Medium,실내,1,140.0,27.0,57.7,20.3,85.0,91.4,N
62,스투키,Large,Low,실내,0,87.0,8.3,37.8,25.7,32.2,32.2,N
63,산세베리아,Medium,Medium,실내,3,47.0,68.5,50.4,22.5,25.7,31.8,N
64,스투키,Small,Low,실내,2,40.0,3.8,48.2,19.9,52.7,54.1,N
65,스투키,Medium,Low,실내,2,317.0,38.4,58.3,24.5,57.6,60.3,N
66,스킨답서스,Small,Medium,실내,2,292.0,30.1,61.9,19.8,34.2,41.6,N
67,몬스테라,Medium,Medium,실내,4,,44.7,63.7,26.2,62.6,71.6,Y
68,산세베리아,Small,High,실내,1,36.0,15.0,50.6,18.5,25.6,30.5,N
69,몬스테라,Large,Medium,실내,0,13.0,77.2,61.4,25.9,5.0,11.2,N
70,필로덴드론,Small,High,베란다,1,20.0,58.8,37.0,22.7,32.9,38.2,N
71,산세베리아,Medium,High,베란다,3,89.0,119.4,71.0,24.1,17.4,33.1,Y
72,몬스테라,Medium,High,실내,4,44.0,28.9,46.7,20.8,,53.6,N
73,몬스테라,Medium,Medium,실내,3,5.0,18.5,38.8,23.2,49.7,52.9,N
74,산세베리아,Small,Medium,실내,0,73.0,27.5,46.7,14.4,52.5,52.5,N
75,고무나무,Large,High,베란다,4,165.0,43.8,72.4,22.7,16.8,23.9,Y
76,고무나무,Medium,Medium,실내,2,267.0,32.5,62.6,18.1,94.7,100.1,N
77,산세베리아,Medium,Low,실내,1,106.0,4.9,76.5,24.2,41.2,37.9,N
78,몬스테라,Small,Medium,실내,2,154.0,20.7,58.6,20.4,66.0,68.3,N
79,스투키,Medium,Low,실내,4,54.0,19.3,71.3,20.4,21.9,26.6,N
80,몬스테라,Medium,High,실내,2,82.0,28.0,50.7,18.5,86.3,91.9,N
81,산세베리아,Small,Medium,실내,3,157.0,53.0,39.3,22.6,42.5,46.0,N
82,,Small,Medium,실내,2,156.0,26.6,59.4,19.5,46.6,50.3,N
83,스투키,Large,Medium,실내,0,66.0,3.9,55.9,21.8,73.4,75.4,N
84,몬스테라,Small,Medium,실내,5,94.0,14.3,61.0,21.0,48.1,56.7,N
85,스투키,Small,Low,실내,1,309.0,25.2,65.0,18.9,54.8,58.1,N
86,스투키,Medium,Medium,실내,1,120.0,14.9,59.8,20.8,49.7,54.1,N
87,고무나무,Medium,High,베란다,2,123.0,33.9,53.9,20.2,24.9,33.2,Y
88,고무나무,Small,Medium,실내,5,184.0,4.2,54.4,24.9,110.8,113.7,N
89,산세베리아,Medium,High,실내,1,15.0,3.5,60.8,25.4,26.3,32.7,N
90,스킨답서스,Small,Low,실내,1,89.0,45.3,37.4,18.0,73.0,151.6,N
91,몬스테라,Small,Low,실내,3,385.0,9.9,46.6,22.6,18.8,20.5,N
92,고무나무,Small,Low,실내,3,54.0,43.1,80.2,21.2,97.2,95.1,N
93,산세베리아,Large,Medium,실내,5,42.0,8.6,49.3,19.4,44.6,53.7,N
94,스킨답서스,Small,High,실내,1,110.0,18.8,63.1,22.4,72.7,72.1,Y
95,산세베리아,Small,High,실내,3,30.0,9.3,50.3,23.4,28.9,36.0,N
96,스킨답서스,Medium,Medium,실내,3,97.0,18.5,52.5,14.0,45.0,49.4,N
97,스킨답서스,Large,Medium,실내,3,20.0,21.0,28.9,25.0,53.7,57.9,N
98,스킨답서스,Small,High,실내,3,104.0,10.4,62.5,24.1,10.2,15.7,N
99,몬스테라,Medium,Low,실내,2,111.0,72.6,48.6,21.9,38.8,43.4,N
100,몬스테라,Small,Low,실내,0,65.0,52.1,30.6,19.4,55.9,54.4,N
101,몬스테라,Medium,High,실내,2,58.0,74.5,38.1,23.5,53.9,63.0,Y
102,고무나무,Medium,Medium,실내,4,34.0,16.5,56.3,20.0,53.8,57.0,N
103,스투키,Medium,High,실내,1,48.0,22.3,46.8,25.8,39.6,43.7,N
104,스킨답서스,Small,Medium,실내,1,83.0,13.3,45.2,24.7,41.8,45.6,N
105,필로덴드론,Small,High,베란다,2,34.0,39.9,49.8,22.1,33.0,42.0,N
106,스투키,Small,Low,베란다,4,183.0,51.7,20.0,19.6,57.7,60.9,N
107,스킨답서스,Medium,Medium,실내,1,148.0,32.3,35.6,23.5,45.4,53.4,N
108,산세베리아,Small,Medium,실내,4,38.0,10.8,62.7,24.4,29.5,33.5,N
109,스투키,Medium,Medium,실내,0,12.0,13.6,61.2,21.0,28.2,29.1,N
110,몬스테라,Large,Low,실내,3,0.0,7.2,61.7,23.2,6.5,11.4,N
111,스투키,Large,Medium,베란다,3,109.0,18.3,62.3,20.6,71.0,75.8,N
112,몬스테라,Large,Low,베란다,4,28.0,50.2,60.3,16.8,37.2,42.2,N
113,필로덴드론,Medium,High,베란다,2,2.0,40.4,72.3,17.0,34.1,40.4,Y
114,산세베리아,Medium,Medium,실내,2,53.0,35.4,62.2,22.5,47.9,52.5,N
115,고무나무,Small,Low,실내,2,392.0,48.5,55.4,26.6,22.5,26.8,N
116,산세베리아,Medium,Low,베란다,2,141.0,17.3,73.5,19.1,24.8,30.0,N
117,,Medium,Low,실내,1,234.0,50.1,61.4,19.6,23.0,26.5,N
118,몬스테라,Medium,Medium,베란다,3,19.0,14.5,61.9,22.9,36.7,42.7,N
119,산세베리아,Medium,Low,실내,3,9.0,26.5,49.0,22.1,21.6,27.0,N
120,스킨답서스,Small,High,실내,3,1.0,19.9,55.4,22.9,35.7,41.8,N
121,산세베리아,Small,Low,실내,2,374.0,18.9,41.3,23.6,33.2,34.0,N
122,산세베리아,Large,Low,실내,3,43.0,38.8,36.8,21.9,59.7,61.5,N
123,스투키,Small,High,실내,1,74.0,21.6,34.4,22.4,60.7,64.0,N
124,몬스테라,Medium,High,실내,2,60.0,51.4,52.4,18.6,44.8,50.7,N
125,스투키,Large,Low,실내,1,157.0,29.6,71.4,20.7,43.2,48.0,N
126,스킨답서스,Medium,High,실내,4,45.0,7.0,60.2,25.8,31.3,34.7,N
127,산세베리아,Medium,Medium,실내,4,92.0,83.1,65.4,23.4,31.9,42.4,N
128,산세베리아,Small,High,실내,3,651.0,28.1,44.6,22.8,19.4,24.5,N
129,몬스테라,Small,Medium,베란다,4,70.0,31.0,58.6,19.4,65.0,75.3,N
130,스킨답서스,Large,Medium,실내,4,96.0,50.1,79.4,19.6,24.2,32.7,Y
131,스킨답서스,Medium,High,실내,5,84.0,23.4,64.6,18.8,40.7,48.3,N
132,스투키,Medium,Low,베란다,0,195.0,29.7,50.5,16.5,66.6,67.6,N
133,몬스테라,Small,Medium,베란다,0,37.0,9.9,34.7,21.2,30.3,32.6,N
134,스투키,Small,Medium,실내,0,22.0,9.2,39.2,20.8,18.9,22.6,N
135,필로덴드론,Large,Low,베란다,4,168.0,50.9,62.9,22.6,74.5,79.8,N
136,스투키,Medium,Low,실내,3,64.0,90.4,57.7,25.1,29.9,35.2,N
137,스킨답서스,Medium,Low,실내,0,294.0,15.9,76.6,20.1,62.9,63.2,N
138,고무나무,Small,Medium,실내,1,124.0,22.1,55.8,25.7,76.0,79.3,N
139,스투키,Medium,Medium,실내,2,100.0,15.7,37.2,23.5,45.9,53.0,N
140,필로덴드론,Large,Medium,베란다,1,9.0,31.5,52.3,26.3,35.5,44.1,N
141,필로덴드론,Medium,Low,베란다,1,157.0,26.7,55.5,18.6,64.5,69.2,N
142,스투키,Small,Medium,베란다,7,139.0,89.6,50.4,25.5,46.6,56.8,N
143,스킨답서스,Medium,High,베란다,2,123.0,25.0,55.0,20.0,66.2,75.4,N
144,스투키,Medium,Medium,실내,1,37.0,46.4,59.5,19.6,51.8,56.3,N
145,스투키,Medium,Medium,실내,1,352.0,25.8,30.7,21.8,48.2,52.3,N
146,몬스테라,Large,High,베란다,2,47.0,28.4,46.9,19.5,76.7,80.7,N
147,고무나무,Medium,High,베란다,2,20.0,11.2,70.1,23.3,62.3,67.9,N
148,스킨답서스,Large,Medium,베란다,1,523.0,24.1,74.4,24.5,40.0,42.4,N
149,몬스테라,Medium,High,베란다,1,165.0,14.7,39.7,23.5,68.5,75.8,N
150,스투키,Small,Medium,실내,4,64.0,31.1,39.7,21.8,63.8,75.6,N
151,필로덴드론,Small,High,베란다,2,330.0,20.6,64.2,25.5,5.0,11.0,N
152,스투키,Small,Low,베란다,3,11.0,12.1,79.3,23.3,23.2,27.2,N
153,몬스테라,Large,Medium,베란다,3,11.0,70.9,57.6,21.6,5.0,12.3,N
154,스킨답서스,Medium,Low,실내,1,138.0,40.6,56.3,21.6,61.3,64.4,N
155,필로덴드론,Medium,High,실내,0,24.0,31.5,46.5,19.3,24.4,27.9,Y
156,스투키,Small,Medium,실내,4,299.0,13.1,67.2,19.1,16.3,22.8,Y
157,고무나무,Small,Low,실내,2,220.0,40.3,51.4,20.6,,130.2,N
158,산세베리아,Medium,Low,실내,1,44.0,10.2,73.8,18.8,27.5,30.1,N
159,스투키,Medium,High,실내,3,264.0,12.6,59.3,18.5,24.1,32.1,Y
160,고무나무,Small,High,실내,1,5.0,24.0,58.1,19.2,100.5,105.0,N
161,스투키,Medium,Medium,실내,1,95.0,27.3,45.1,25.2,25.6,35.1,N
162,고무나무,Small,Medium,실내,4,329.0,16.8,45.6,19.6,46.5,51.2,N
163,고무나무,Small,Medium,실내,4,232.0,5.7,47.6,24.5,104.1,108.3,N
164,스킨답서스,Medium,Medium,실내,1,53.0,19.3,53.9,20.1,21.3,20.0,N
165,몬스테라,Small,High,실내,2,24.0,65.4,68.3,22.6,39.6,50.0,N
166,산세베리아,Large,Low,실내,4,28.0,3.7,64.9,19.6,29.4,26.9,N
167,스투키,Small,Medium,실내,2,87.0,36.0,49.4,22.6,45.7,50.4,N
168,몬스테라,Small,Medium,실내,2,109.0,21.1,29.9,28.8,55.3,58.5,N
169,몬스테라,Small,Medium,실내,1,4.0,7.4,46.3,19.9,87.8,88.1,N
170,스킨답서스,Medium,Medium,베란다,2,64.0,59.4,56.8,21.1,51.3,58.0,N
171,고무나무,Medium,Medium,실내,1,,14.1,57.8,18.4,100.9,107.9,Y
172,몬스테라,Medium,Low,실내,3,71.0,74.4,77.0,25.3,20.0,26.3,N
173,스킨답서스,Small,Medium,베란다,4,22.0,28.5,72.2,25.8,37.7,42.8,N
174,스투키,Small,Low,실내,3,372.0,31.1,64.5,19.2,43.1,50.7,N
175,고무나무,Medium,Low,베란다,1,37.0,20.2,47.2,21.5,7.8,8.6,N
176,몬스테라,Large,Low,베란다,1,192.0,50.6,58.4,23.3,6.9,12.3,N
177,고무나무,Large,High,실내,0,26.0,22.0,61.2,22.2,77.8,78.4,N
178,스투키,Small,Medium,실내,4,66.0,52.7,70.8,19.2,50.0,57.4,N
179,필로덴드론,Medium,Medium,실내,2,81.0,31.6,43.1,19.1,30.4,33.2,N
180,몬스테라,Large,High,실내,2,83.0,19.7,65.7,18.3,55.6,65.7,N
