plant_id,species,pot_size,light_condition,location_type,watering_per_week,days_since_repot,fertilizer_ml,humidity_pct,temperature_c,prev_height_cm,height_cm,is_blooming
1502,스킨답서스,Small,High,베란다,2,217.0,10.0,68.3,23.3,15.1,20.5,N
2587,몬스테라,Medium,Low,실내,3,50.0,27.2,55.6,28.1,45.7,48.0,N
2654,,Large,Medium,베란다,2,197.0,13.4,67.7,18.4,69.2,71.9,N
1056,스투키,Medium,Medium,베란다,4,22.0,10.0,54.4,25.6,39.5,46.0,N
706,필로덴드론,Small,Medium,실내,4,41.0,58.7,66.0,19.8,49.7,54.3,Y
107,스킨답서스,Medium,Medium,실내,1,148.0,32.3,35.6,23.5,45.4,53.4,N
590,몬스테라,Medium,Low,실내,3,12.0,29.8,69.0,23.7,76.5,77.7,N
2469,스킨답서스,Medium,Medium,베란다,2,11.0,18.1,50.4,23.2,8.7,11.5,N
2414,몬스테라,Large,High,실내,0,70.0,31.5,48.1,20.4,40.8,44.3,N
1601,몬스테라,Medium,Medium,실내,2,180.0,35.5,54.8,21.5,36.9,40.1,N
2465,고무나무,Medium,Medium,실내,0,3.0,36.7,53.3,20.0,109.0,111.9,N
229,산세베리아,Small,Low,베란다,6,371.0,32.0,56.1,23.2,40.6,44.0,N
916,스킨답서스,Small,Low,실내,5,403.0,53.8,57.2,22.5,34.4,40.8,N
795,몬스테라,Medium,Low,실내,1,11.0,10.8,59.0,21.1,27.6,32.4,N
3022,스킨답서스,Large,High,실내,2,294.0,31.8,42.3,21.8,17.7,22.8,N
